Date,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-02,IT-03,IT-04,G-01-L2,U-02-L2,U-03-L2,CF-04-L2,CF-05-L2,C-01-L2,C-02-L2,EF-01-L2,EF-03-L2,EF-05-L2,EF-06-L2,IT-03-L2,IT-04-L2,CF-01-L2-Annotation,CF-01-L2-Barcode scanner,CF-01-L2-Browser forms,CF-01-L2-Chemical editor,CF-01-L2-Dictation function,CF-01-L2-Sketching,CF-01-L2-HELM editor,CF-01-L2-Equation editor,CF-01-L2-Plain text editor,CF-01-L2-Rich text editor,CF-01-L2-Scientific calculator,CF-01-L2-Symbolic link,CF-01-L2-Table editor,CF-01-L2-Internal hyperlinks,CF-01-L2-External hyperlinks,CF-01-L2-XHTML-Editor,CF-02-L2-Audio formats,CF-02-L2-Database formats,CF-02-L2-Document formats,CF-02-L2-Image formats,CF-02-L2-MS Office formats,CF-02-L2-Packed formats,CF-02-L2-Scientific formats,CF-02-L2-Structured formats,CF-02-L2-Table formats,CF-02-L2-Video formats,CF-06-L2-Advanced/conditional search,CF-06-L2-BLAST Search,CF-06-L2-Database queries,CF-06-L2- Layered data hierarchy,CF-06-L2-Filtering,CF-06-L2-Full text search,CF-06-L2-Search by command line,CF-06-L2-Search for reactions by chemical structure,CF-06-L2-Tagging,CF-07-L2-Commenting,CF-07-L2-Notifications,CF-07-L2-Rights management,CF-07-L2-Role management,CF-07-L2-Shared calendar(s)/scheduling,CF-07-L2-External guest access,CF-07-L2-Real-time collaboration,CF-07-L2-Task assignment,EF-02-L2-Publication,EF-02-L2-Cloud,EF-02-L2-LabManagement,EF-02-L2-DataAnalysis,EF-02-L2-DataVisualisal,EF-02-L2-DataImport,EF-02-L2-Data management planning,EF-02-L2-Coding,EF-02-L2-RefManagement,EF-02-L2-DocFormatting,EF-02-L2-Collab,EF-02-L2-LES,EF-02-L2-PM,G-01-L3,EF-02-L3-Publication,EF-02-L3-Cloud,EF-02-L3-LabManagement,EF-02-L3-DataAnalysis,EF-02-L3-DataVisualisal,EF-02-L3-DataImport,EF-02-L3-Coding,EF-02-L3-RefManagement,EF-02-L3-DocFormatting,EF-02-L3-Collab,EF-02-L3-LES,EF-02-L3-PM,EF-03-L3-API
2024-01-16,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,"Subject specific templates, Define own templates",,,,,,,,"Local, Provider's Cloud",,,,,,,,,,100.0,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,,,,,,,,"Instrument management, LIMS connectivity, Sample Tracking",,,,,Local,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-16,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,,,,,Define own templates,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,100.0,,,100.0,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,100.0,,,,,,,,,100.0,,,,Protocols.io,One Drive,,,,,,,,Protocols.io,,,
2024-02-27,0,2,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0,0,2,2,,,"User training (online, on site)",Complete content in document format,Define own templates,,,"Ordering function, Asset management, Sample Tracking",,,,Browser based,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,100.0,,,,Figshare,,,,,,,,,Slack,,,
2024-03-13,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,Online documentation,,,,,,,,,Browser based,Local,,,,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,0,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2,,,,,,,,"Sample Tracking, Materials database",Autoupload/folder watch,"Task management, Taskboard",,Browser based,"Local, Provider's Cloud",100.0,,,,,100.0,,,,100.0,,,,,,,,,100.0,100.0,100.0,,,100.0,,,100.0,,,100.0,,,,,,,,100.0,,,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,,,,,100.0,,,,,"One Drive, Dropbox",,SnapGene (Dotmatics),SnapGene (Dotmatics),SnapGene (Dotmatics),,,,"SnapGene (Dotmatics), Dropbox",,,
2024-08-27,0,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,,,,,Define own templates,Audit Trail,,,,,,,"Local, Provider's Cloud",,,,,,,,,,100.0,,,,,,,,,,100.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,,,"User training (online, on site)",Formats suitable for long term archiving,Define own templates,,,,,,,,"Local, Provider's Cloud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,,,"User training (online, on site)",,,Versioning,,,"Data analysis, Other API",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,100.0,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other API
2024-09-11,0,2,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,,,"User training (online, on site)",,Define own templates,"Timestamping, Electronic signature, Locking, Audit Trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,100.0,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,,,"User training (online, on site)","Formats suitable for publication, Direct publication option",Define own templates,"Audit Trail, Versioning, Electronic signature","FDA CFR 21 Part 11, Good Clinical practice (GCP)","LIMS connectivity, Asset management, Sample Tracking, Materials database","Autoupload/folder watch, Other API",,Reports,"Browser based, Responsive Design",,100.0,100.0,,,100.0,100.0,,,,100.0,,,,100.0,100.0,100.0,,,,,,,,,100.0,,100.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other API
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,,,,,,,,,,,1,1,1,2,1,2,2,1,1,2,,,,,,,,,,Calendar,Graphical representation,,Cloud of own choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,10,30,70,100,90,100,100,100,100,10,80,,Github,Dropbox,,,Microsoft Office Plug-in,,Github,Mendeley (Elsevier),GoogleDocs,Dropbox,,Github,
2024-09-23,,2,0,2,2,1,2,1,2,1,,,,,,,,,,,,,"In-house documentation,In-house training","All content in a document format,A subset of content in a document format,A subset of content in a structured, machine-readable format",,,,,,,,,,30,,20,,20,30,,,,80,,,,,30,,,,,,,,,,,,40,,,,,90,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,,2,1,2,,,,,,,,,2,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,,,,,2,2,2,1,2,1,2,1,,,,,,,,,,,,"All content in a structured, machine-readable format",,,,,,,,,,70,,80,,40,,20,60,100,60,20,40,100,50,60,40,50,100,100,20,100,60,0,20,100,20,90,,60,60,80,60,70,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,2,1,0,0,,,,,,,1,1,,,,,,,,,Indifferent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,,,,,2,1,1,2,2,2,,,0,1,2,2,2,1,0,2,,,,,"Definition/import of own templates,Import from internet sources (i.e. protocols.io)",,,,Data autoupload/folder watch,"Calendar,Planner",Graphical representation,,Cloud of own choice,100,,,,,100,,100,100,,,,70,,,,,,,,,,,,,,,,100,60,100,100,50,,,90,40,,,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,0,0,0,0,2,2,2,2,2,2,2,0,0,2,0,0,2,0,0,0,,,,Formats suitable for publication,"Define own templates, Import from internet sources, Subject specific templates",Locking,,,,,Export possible,,,,,,,,,,,,,,,,100.0,100.0,,,,,100.0,,,,,,,,,,100.0,,100.0,,,,,,100.0,,,,,,100.0,,,100.0,100.0,,,,,,100.0,,,,Protocols.io,,,GraphPad Prism (Dotmatics),GraphPad Prism (Dotmatics),,,,,Protocols.io,,,
2024-10-01,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,2,0,0,0,,,"User training (online, on site)","Complete content in machine readable format, Formats suitable for long term archiving","Subject specific templates, Define own templates","Audit Trail, Versioning, Timestamping",,,Other API,,"Project-related workflows, Cross-project workflows, Graphical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other API
2024-10-03,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,,,,,"Define own templates, Subject specific templates",,,,Other API,,Project-related workflows,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,,,,,100.0,,"Github, Figshare",,,Github,,,Github,,,,,Github,Other API
2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,,,,,,,,,,,,,2,2,1,2,1,,,,,,,,,,,,,"Calendar,Task-board,Planner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,80,100,100,100,50,100,,Github,Dropbox,CAS SciFinder (ACS),Jupyter (Notebook & Lab),ChemDraw (Revvity Signals),ChemDraw (Revvity Signals),Github,Mendeley (Elsevier),Microsoft Office Plug-in,Dropbox,,CAS SciFinder (ACS),
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,,2,0,1,2,2,2,2,2,2,,,,,,,,,,,,,,"All content in a document format,A subset of content in a document format,All content in a structured, machine-readable format,A subset of content in a structured, machine-readable format,Direct publication option","Definition/import of own templates,Import from internet sources (i.e. protocols.io)",,,,,,,,,90,70,90,90,50,70,10,90,80,90,90,70,80,90,60,10,60,70,90,100,90,70,80,100,100,60,100,40,90,70,100,90,100,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-17,2,1,0,1,,,,,,,,,1,1,1,1,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure/Don't know/Don't mind,,,,,,,,,,,,,
2024-10-17,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,40,30,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,,,,2,1,2,1,2,1,,,,,,,,1,1,1,,,,"All content in a document format,A subset of content in a document format",,,,,,,,,,90,40,50,,,30,,80,100,70,90,50,100,90,90,,,,,,,,,,,,100,70,,,90,100,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,2,0,2,,,,,,,2,0,1,1,1,1,2,,,,,,In-house training,,,"Audit trail,Electronic signature,Locking,Time-stamping,Versioning",,,,,"Exportable,Importable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,,,,,,,,,,0,0,2,1,1,1,1,,,,,,,,,,,"Asset management (i.e. safety-critical items),Freezer management,Instrument management (i.e. training and maintenance logs),Device/instrument inventory,Sample inventory/tracking,Materials/chemical database,Ordering function (not purchasing, but signaling for purchase)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,1,0,1,2,1,2,0,2,2,,,,,,,,0,2,1,,,,"All content in a document format,Direct publication option",,,,,,,,"Web browser on desktop,Local desktop client,Web browser on mobile/tablet",,90,10,100,50,0,10,0,50,70,50,20,0,80,0,80,20,,,,,,,,,,,90,50,30,10,70,100,,30,70,100,,40,,60,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,,,,,1,0,1,1,2,1,,,0,1,1,2,1,,,,,,,,,,,,,"Calendar,Task-board,Planner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22,,,,,1,0,1,0,2,1,,,,,,,,0,2,1,,,,,,,,,,,,"Web browser on desktop,Local desktop client,Mobile App",,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,50,20,30,80,20,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22,,1,1,1,,,,,,,2,2,2,1,1,2,2,,,,,,,,,"Audit trail,Electronic signature,Locking,Time-stamping,Versioning","General Data Protection Regulation (GDPR),Good Laboratory Practice (GLP),Good Manufacturing Practice (GMP)","Asset management (i.e. safety-critical items),Freezer management,Instrument management (i.e. training and maintenance logs),Device/instrument inventory,Sample inventory/tracking,Materials/chemical database",,"Calendar,Planner","Graphical representation,Reporting,Executable workflow,Exportable,Importable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22,,,,,,,,,,,,,1,2,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,50,,20,100,70,30,10,80,10,30,,,,,,,,SnapGene (Dotmatics),,,Microsoft Office Plug-in,,,,
2024-10-22,,0,1,1,1,1,1,1,2,2,2,1,,,,,,,,,,,,,,"Time-stamping,Versioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,30,30,70,80,80,50,50,50,100,20,80,30,20,20,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-23,,0,1,0,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-25,,,,,,,,,,,0,1,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,,,,,2,0,1,1,2,0,2,0,0,1,0,1,1,,,,,,,,,"Time-stamping,Versioning",,,,,,,,90,10,,20,30,80,10,90,100,100,10,30,90,30,30,30,,,,,,,,,,,90,10,,20,100,100,90,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
