ID,G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score,b1_score,b2_score,b3_score,b4_score,b5_score,b6_score,overall_score
ELN-43,0.0,0,0.7,0.8256,1.0,0.85,0.8947,0.4067,0.7648,0.8518,0.8,0.72,0.5,1.0,0.8461,1.0,0.8462,0,1.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,1.0,0.3333,0.1429,0,0.0,0.0,0.0428,0.1224,0.0707,0.0329,0.0571,0.3259
ELN-12,0.0,0,0.7,0.8843,1.0,0.45,0.6842,0.6381,0.5528,0.8518,0.4,0.64,0.375,0.7692,0.0,0.8182,0.8462,0,1.0,0.7143,1.0,0.0,0.75,0.75,0.6667,1,1.0,1.0,1.0,0.5715,0,0.6667,0.0,0.0428,0.127,0.0606,0.0292,0.0361,0.2958
ELN-14,0.0,0,0.7,0.7048,1.0,0.6,0.8421,0.6761,0.4457,0.8518,0.6,0.64,0.375,0.3846,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.1128,0.0657,0.0292,0.0441,0.2947
ELN-46,0.0,0,0.6,0.683,1.0,0.45,0.8421,0.7506,0.4457,0.8518,0.6,0.64,0.375,1.0,0.0,0.7273,0.6923,0,0.0,0.4286,1.0,0.0,0.5,0.75,1.0,0,1.0,0.0,1.0,0.5715,0,0.6667,0.0,0.0428,0.1111,0.0657,0.0292,0.0321,0.2809
ELN-08,0.0,0,0.7,0.648,0.8876,0.25,0.8947,0.5466,0.4457,0.8518,0.0,0.64,0.5,0.3846,0.1538,0.9091,1.0,0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,0.0,0.0,0.1429,0,0.0,0.0,0.0428,0.1019,0.0506,0.0292,0.0531,0.2777
ELN-07,0.0,0,0.7,0.3817,1.0,0.15,0.6316,0.5086,0.5335,0.8518,0.6,0.56,0.5,1.0,0.8461,0.7273,0.4615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0873,0.0657,0.0256,0.0321,0.2534
ELN-13,0.0,0,0.7,0.7891,1.0,0.45,0.8421,0.6761,0.4457,0.8518,0.4,0.72,0.0,0.7692,0.3077,0.8182,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1429,0,0.0,0.0,0.0,0.1195,0.0606,0.0329,0.0361,0.2491
ELN-04,0.5,0,0.7,0.4586,1.0,1.0,0.8421,0.5469,0.5335,0.3703,0.0,0.64,0.0,0.3846,0.0,0.9091,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0934,0.022,0.0292,0.0531,0.2477
ELN-67,0.0,0,0.7,0.6615,1.0,0.85,0.6316,0.5086,0.5335,0.6296,0.0,0.36,0.5,0.7692,0.1538,0.9091,0.6923,0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.1094,0.0374,0.0165,0.0401,0.2462
ELN-16,0.5,0,0.7,0.6686,1.0,0.6,0.6842,0.5639,0.5528,0.8518,0.6,0.56,0.0,0.3846,0.0,0.5455,1.0,0,0.0,0.7143,1.0,0.0,0.5,0.75,1.0,1,1.0,1.0,1.0,0.7144,0,0.6667,0.0072,0.0,0.11,0.0657,0.0256,0.0371,0.2454
ELN-09,0.5,0,0.7,0.5943,1.0,0.85,0.6842,0.7094,0.6073,0.6296,0.2,0.48,0.0,0.7692,0.0,0.5455,0.8462,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.1041,0.0424,0.0219,0.0241,0.2425
ELN-06,0.5,0,0.1,0.4308,1.0,0.5,0.6842,0.4004,0.5335,0.8518,0.6,0.72,0.375,0.7692,0.6923,1.0,1.0,0,0.0,0.2857,0.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.6667,0.2857,0,0.0,0.0072,0.0,0.0912,0.0657,0.0329,0.0441,0.241
ELN-42,0.0,0,0.7,0.348,1.0,0.45,0.6842,0.3316,0.5335,0.5925,0.2,0.64,0.375,0.3846,0.0,0.9091,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0846,0.0402,0.0292,0.0401,0.237
ELN-62,0.0,0,0.7,0.4832,0.6828,0.85,0.8421,0.4004,0.5335,0.8518,0.0,0.48,0.0,0.3846,0.0,1.0,0.6923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0772,0.0506,0.0219,0.0441,0.2366
ELN-28,0.0,0,0.7,0.3933,1.0,0.35,0.6316,0.5299,0.2697,0.6296,0.2,0.64,0.125,0.3846,0.0,0.7273,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0882,0.0424,0.0292,0.0321,0.2348
ELN-03,0.0,0,0.7,0.514,1.0,0.85,0.8421,0.4746,0.7455,0.8518,0.4,0.92,0.5,0.0,0.8461,0.7273,1.0,0,0.0,0.2857,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4286,0,0.0,0.0,0.0,0.0978,0.0606,0.042,0.0321,0.2325
ELN-02,0.0,0,0.1,0.3362,1.0,0.25,0.6316,0.6076,0.501,0.4815,0.2,0.76,0.0,0.3846,0.1538,0.5455,0.3077,0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.6667,0.5715,0,0.0,0.0,0.0428,0.0837,0.0336,0.0347,0.0371,0.2319
ELN-54,0.5,0,0.7,0.5338,1.0,0.6,0.8421,0.3385,0.4457,0.4444,0.0,0.64,0.375,0.3846,0.0,0.5455,0.6923,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0993,0.0264,0.0292,0.0241,0.229
ELN-05,0.0,0,0.7,0.2591,1.0,0.35,0.6316,0.1635,0.5335,0.4074,0.4,0.64,0.5,0.0,0.0,0.5455,0.3077,0,0.0,0.0,1.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.4286,0,0.0,0.0,0.0428,0.0776,0.0342,0.0292,0.0371,0.2209
ELN-10,0.0,0,0.7,0.6149,0.8475,0.7,0.8947,0.6019,0.6588,0.8518,0.4,0.76,0.5,0.7692,0.0,0.6364,1.0,0,0.0,0.0,0.6,0.0,0.0,0.25,0.0,1,0.0,1.0,0.6667,0.4286,0,0.0,0.0,0.0,0.097,0.0606,0.0347,0.0281,0.2205
ELN-01,0.0,0,0.7,0.5369,1.0,0.25,0.6316,0.3558,0.5358,0.8518,0.4,0.52,0.375,0.3846,0.0,0.7273,0.3077,0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4286,0,0.0,0.0,0.0,0.0996,0.0606,0.0238,0.0321,0.216
ELN-17,0.0,0,0.7,0.0899,0.4057,0.2,0.6842,0.4746,0.4457,0.8518,0.6,0.84,0.5,0.2308,0.4615,0.7273,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0428,0.0303,0.0657,0.0384,0.0321,0.2092
ELN-11,0.5,0,0.1,0.2129,1.0,0.6,0.6316,0.4004,0.1819,0.4815,0.0,0.24,0.0,0.0,0.5385,0.7273,0.6923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0739,0.0286,0.011,0.0451,0.2085
ELN-19,0.0,0,0.7,0.5524,0.5744,0.45,0.6316,0.5086,0.4457,0.8518,0.4,0.64,0.5,0.3846,0.0,0.6364,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0765,0.0606,0.0292,0.0411,0.2074
ELN-51,0.0,0,0.6,0.5352,1.0,0.45,0.8421,0.6041,0.4457,0.8518,0.4,0.56,0.375,0.3846,0.0,0.1818,0.5385,0,1.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0994,0.0606,0.0256,0.021,0.2067
ELN-45,0.0,0,0.7,0.6222,1.0,0.0,0.6316,0.4004,0.4614,0.2222,0.2,0.76,0.125,0.3846,0.0,0.7273,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1063,0.0182,0.0347,0.0451,0.2043
ELN-50,0.5,0,0.1,0.4647,1.0,1.0,0.6316,0.2603,0.2638,0.2222,0.0,0.0,0.5,0.0,0.0,0.5455,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0939,0.0132,0.0,0.0371,0.1941
ELN-24,0.0,0,0.7,0.2266,0.5623,0.65,0.6316,0.3345,0.5335,0.5925,0.4,0.24,0.0,0.0,0.0,0.5455,0.3077,0,0.0,0.0,0.0,0.0,0.25,0.25,0.6667,0,0.0,0.0,0.0,0.1429,0,0.0,0.0,0.0428,0.05,0.0452,0.011,0.0371,0.1861
ELN-57,0.5,0,0.7,0.2051,1.0,0.6,0.6316,0.3558,0.1819,0.4815,0.2,0.0,0.5,0.0,0.0,0.1818,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0733,0.0336,0.0,0.008,0.1649
ELN-34,0.0,0,0.1,0.3165,1.0,0.4,0.0,0.2603,0.4457,0.3703,0.2,0.56,0.125,0.0,0.0,0.5455,0.3077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0821,0.027,0.0256,0.0241,0.1588
ELN-53,0.5,0,0.1,0.2851,1.0,0.85,0.0,0.5086,0.2638,0.2593,0.0,0.24,0.375,0.3846,0.0,0.7273,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0,0.0797,0.0154,0.011,0.0321,0.1452
ELN-20,0.0,0,0.1,0.1881,0.5944,0.45,0.6316,0.5086,0.4457,0.8518,0.4,0.08,0.0,0.3846,0.0,0.7273,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333,0,0.0,0.0,0.6667,0.0,0,0.0,0.0,0.0,0.0488,0.0606,0.0037,0.0321,0.1452
ELN-25,0.5,0,0.7,0.2353,0.5382,0.4,0.6316,0.2603,0.2638,0.0,0.2,0.4,0.375,0.3846,0.1538,0.1818,0.5385,0,1.0,0.0,0.0,1.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.3333,0.0072,0.0428,0.0493,0.005,0.0183,0.021,0.1436
ELN-49,0.0,0,0.7,0.2529,1.0,0.85,0.0,0.5809,0.2917,0.3703,0.2,0.24,0.125,0.3846,0.0,0.6364,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0771,0.027,0.011,0.0281,0.1432
ELN-15,0.0,0,0.7,0.2529,1.0,0.85,0.0,0.5809,0.2917,0.3703,0.2,0.24,0.125,0.3846,0.0,0.6364,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0771,0.027,0.011,0.0281,0.1432
ELN-29,0.0,0,0.1,0.1504,1.0,0.4,0.0,0.4344,0.2638,0.4815,0.0,0.16,0.0,0.0,0.0,0.5455,0.3077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.069,0.0286,0.0073,0.0241,0.129
ELN-26,0.5,0,0.1,0.2575,0.0321,0.0,0.2105,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.3077,0.5455,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0222,0.0,0.0183,0.0371,0.1275
ELN-66,0.0,0,0.7,0.196,0.0,0.2,0.6316,0.4004,0.5528,0.8518,0.6,0.56,0.5,0.3846,0.0,0.1818,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0155,0.0657,0.0256,0.008,0.1148
ELN-64,0.5,0,0.1,0.1347,0.249,0.4,0.6316,0.5799,0.5335,0.4815,0.0,0.4,0.5,0.7692,0.2308,0.7273,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0,0.0249,0.0286,0.0183,0.0321,0.111
ELN-68,0.0,0,0.0,0.0341,1.0,0.25,0.6316,0.0742,0.212,0.2962,0.0,0.08,0.0,0.0,0.1538,0.5455,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0598,0.0176,0.0037,0.0241,0.1051
ELN-18,0.5,0,0.7,0.2851,0.0,0.7,0.0,0.034,0.5335,0.4815,0.0,0.0,0.0,0.0,0.0,0.7273,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0,0.0226,0.0286,0.0,0.0321,0.0904
ELN-65,0.0,0,0.0,0.1843,0.0,0.0,0.6316,0.2603,0.212,0.0,0.2,0.48,0.5,0.0,0.4615,0.5455,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0146,0.005,0.0219,0.0241,0.0656
ELN-55,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.4286,0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0072
ELN-44,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
ELN-61,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
ELN-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0037
ELN-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0037
ELN-63,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-56,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-58,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-60,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-48,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-47,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-41,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-39,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-37,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-32,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-30,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-69,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
