ID,TL-01,G-01,U-01,U-02,U-03,CF-01,CF-02,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04
ELN-01,Benchling Notebook,Closed Source,Unknown,English,"User training (online, on site),
Online documentation,
Support by provider (Consulting)","Chemical editor/sketching,
Barcode Scanner,
With external links,
Plain text editor,
With internal links,
Table editor,
Annotation",All formats,Formats suitable for publication,Define own templates,"Filtering,
Advanced/conditional search","Rights management,
Role management,
Notifications,
Task assignment","Audit Trail,
Electronic signature,
Timestamping,
Versioning","ISO 27001,
General Data Protection Regulation (GDPR),
FDA CFR 21 Part 11","Sample Tracking,
Inventory (devices),
LIMS connectivity,
Instrument management","Dropbox,
Egnyte,
Google Drive,
Other vendor products,
Jupyter,
Evernote,
OneNote",Autoupload/folder watch,Calendar,"Yes,
Cross-project workflows,
Project-related workflows","Other API,
REST API,
SDK",Unknown,"Browser based,
Local client",Provider's Cloud
ELN-02,Genemod,Closed Source,Yes,English,Online documentation,"With internal links,
Table editor,
Barcode Scanner,
Rich text editor",All formats,Formats suitable for publication,Define own templates,"File/data hierarchy,
Tagging,
Filtering,
Conditional search","Notifications,
Comments,
Group management,
Role management,
Real-time collaboration","Audit Trail,
Versioning","ISO 27001,
SOC2,
GxP,
FDA CFR 21 Part 11","Materials database,
Instrument management,
Inventory (devices),
Sample Tracking,
Ordering function,
Freezer Management","One Drive,
Microsoft Office Plug-in,
Dropbox,
Slack,
Google Drive",,Calendar,Reports,Other API,Yes,Browser based,Provider's Cloud
ELN-03,Labfolder (Labforward),Closed Source,No,"English,
French,
German","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Freehand/Sketches,
Table editor,
With internal links,
Plain text editor,
XHTML-Editor,
With external links",All formats,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import of own templates,
Subject specific templates,
Microtitre plate templates","Database queries,
Full text search,
Advanced/conditional search","Comments,
Rights management,
Role management,
Real-time collaboration","Audit Trail,
Electronic signature,
Versioning,
Timestamping","Good Manufacturing practice (GMP),
Good Laboratory Practice (GLP),
HIPAA,
ISO 27001,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
Asset management,
Freezer Management,
Instrument management,
Inventory (devices),
LIMS connectivity,
Ordering function","Dropbox,
Figshare,
On request,
Create own plug-ins","On request,
Data analysis,
Device control,
Autoupload/folder watch",,"Cross-project workflows,
Export possible,
Graphical,
Import possible,
Project-related workflows,
Yes,
Reports",REST API,No,"Browser based,
Responsive Design","Cloud of own choice,
Local,
Provider's Cloud"
ELN-04,LabID,"Open Source,
MIT",Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Browser forms,
Rich text editor,
With internal links,
With external links,
Table editor",All formats,"Complete content in document format,
Formats suitable for long term archiving,
Formats suitable for publication,
Complete content in machine readable format,
Direct publication option","Import of own templates,
Define own templates,
Subject specific templates","Full text search,
File/data hierarchy,
Advanced/conditional search","Role management,
Comments,
Rights management","Timestamping,
Locking",,"Freezer Management,
Inventory (devices),
Materials database,
Ordering function,
Sample Tracking","Libre Office,
Galaxy",On request,Task management,Unknown,"REST API,
Command line input",Yes,"Browser based,
Local client,
Responsive Design",Local
ELN-05,Labstep,Closed Source,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Chemical editor/sketching,
Plain text editor,
Table editor,
Scientific calculator",All formats,"Formats suitable for long term archiving,
Complete content in machine readable format",Define own templates,"Filtering,
Search for reactions by chemical structure","Comments,
Rights management,
Role management","Electronic signature,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
FDA CFR 21 Part 11","Ordering function,
Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking","Box,
Jupyter,
Dropbox,
Google Drive,
One Drive,
ChemDraw (Revvity Signals),
Pubchem (NLM)","Data analysis,
Device control,
Autoupload/folder watch",Unknown,Unknown,"Python API,
SDK",Yes,Browser based,Provider's Cloud
ELN-06,SciNote,"Open Source,
Mozilla Public Licence 2.0",No,English,"Online documentation,
Support by provider (Consulting)","Barcode Scanner,
Plain text editor,
Table editor,
With internal links,
With external links,
Chemical editor/sketching",All formats,"Complete content in document format,
Formats suitable for publication","Import of own templates,
Define own templates,
Import from internet sources","Full text search,
Advanced/conditional search","Rights management,
Role management,
Comments","Audit Trail,
Timestamping,
Electronic signature,
Versioning","Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
SAFE-BioPharma Digital Identity and Signature Standard,
ISO 27001,
General Data Protection Regulation (GDPR),
FDA CFR 21 Part 11","Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking,
Freezer Management,
Ordering function","In-house plugins,
Protocols.io,
Microsoft Office Plug-in,
Other vendor products,
Marvin JS (ChemAxon)",Autoupload/folder watch,"Calendar,
Task management","Export possible,
Graphical,
Yes,
Project-related workflows,
Reports",REST API,No,"Browser based,
Local client,
Mobile Application,
Responsive Design","Provider's Cloud,
Cloud of own choice,
Local"
ELN-07,Uncountable (Unified Platform),Closed Source,Yes,Multilingual,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Dictation function,
Mathematical formula/equation editor,
Microtitre plates,
Rich text editor,
Scientific calculator",All formats,Complete content in machine readable format,Define own templates,"Database queries,
Full text search,
Search for reactions by chemical structure,
Advanced/conditional search","Comments,
Rights management,
Role management","Audit Trail,
Electronic signature,
Versioning,
Timestamping","Good Clinical practice (GCP),
Good Laboratory Practice (GLP),
Good Manufacturing practice (GMP),
HIPAA,
ISO 27001,
FDA CFR 21 Part 11","Inventory (devices),
LIMS connectivity,
Materials database,
Sample Tracking","Create own plug-ins,
In-house plugins,
SAP BTP","Autoupload/folder watch,
On request,
Data analysis,
Device control","Calendar,
Taskboard,
Task management","Cross-project workflows,
Export possible,
Graphical,
Import possible,
Project-related workflows,
Reports,
Yes",REST API,Unknown,"Browser based,
Responsive Design","Cloud of own choice,
Provider's Cloud"
ELN-08,Dotmatics,Closed Source,Yes,"English,
French,
German,
Korean,
Mandarin Chinese,
Italian,
Japanese,
Hebrew","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Browser forms,
Chemical editor/sketching,
Plain text editor,
Rich text editor,
Scientific calculator,
Table editor,
With internal links,
With external links,
HELM editor","Video formats,
Document formats,
Image formats,
MS Office formats,
Scientific formats,
Structured formats,
Table formats,
Packed formats","Complete content in document format,
Unknown","Define own templates,
Import from internet sources,
Subject specific templates,
Microtitre plate templates","Full text search,
Database queries,
BLAST Search,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Versioning,
Timestamping,
Audit Trail,
Electronic signature",ISO 27001,"LIMS connectivity,
Materials database,
Sample Tracking,
Inventory (devices),
Freezer Management","ChemDraw (Revvity Signals),
Marvin JS (ChemAxon),
MarvinSketch (ChemAxon),
SnapGene (Dotmatics)","Autoupload/folder watch,
Data analysis",Task management,"Project-related workflows,
Cross-project workflows,
Reports,
Yes","Java API,
REST API",Yes,"Browser based,
Responsive Design,
Local client","Local,
Cloud of own choice,
Provider's Cloud"
ELN-09,eLabFTW,Open Source,Yes,"English,
Freely extensible,
Multilingual","Online documentation,
User training (online, on site),
Support by provider (Consulting)","With internal links,
With external links,
Freehand/Sketches,
Chemical editor/sketching,
Table editor,
Plain text editor,
Rich text editor",All formats,"Formats suitable for publication,
Formats suitable for long term archiving,
Complete content in document format,
Complete content in machine readable format","Define own templates,
Import from internet sources","Database queries,
Full text search,
Tagging,
Filtering,
Advanced/conditional search","Rights management,
Role management,
Comments,
Notifications,
Shared calendar(s)/scheduling","Timestamping,
Versioning,
Locking","FERPA,
FISMA,
HIPAA,
Good Laboratory Practice (GLP)","Materials database,
Inventory (devices),
Sample Tracking",ChemDoodle (iChemLabs),,"Calendar,
Task management","Project-related workflows,
Cross-project workflows","Python API,
Java API,
Other API,
REST API",Unknown,Browser based,"Provider's Cloud,
Local"
ELN-10,eLabJournal (eLabNext),Closed Source,No,"English,
French,
German,
Spanish","User training (online, on site),
Online documentation,
Support by provider (Consulting)","Barcode Scanner,
Chemical editor/sketching,
Table editor,
With external links,
With internal links,
Freehand/Sketches,
Plain text editor,
Mathematical formula/equation editor,
Dictation function","Document formats,
Image formats,
Compressed formats,
Audio formats,
Video formats,
MS Office formats,
Table formats,
Structured formats","Formats suitable for publication,
Complete content in document format,
Formats suitable for long term archiving","Define own templates,
Microtitre plate templates,
Import of own templates,
Import from internet sources,
Subject specific templates","Full text search,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management,
Comments,
Shared calendar(s)/scheduling,
Task assignment","Audit Trail,
Timestamping,
Versioning,
Electronic signature","FERPA,
FISMA,
HIPAA,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
FDA CFR 21 Part 11","Inventory (devices),
Instrument management,
Materials database,
Sample Tracking,
Ordering function,
Freezer Management","Dropbox,
Google Drive,
Box,
Other vendor products,
DMP Tool,
Elemental Machines,
RackScan Analyzer (Eppendorf ),
SafeCode System (Eppendorf ),
VisioNize sense (Eppendorf ),
Label printing (FLUICS),
Immunarch (ImmunoMind),
Create own plug-ins,
Marvin JS (ChemAxon),
Mendeley (Elsevier),
Microsoft Office Plug-in,
mpVision (Modicus Prime),
Polygon AI (Rewire Neuro)","Autoupload/folder watch,
Data analysis","Calendar,
Task management","Yes,
Cross-project workflows,
Project-related workflows","REST API,
SDK",No,"Browser based,
Mobile Application","Provider's Cloud,
Local,
Cloud of own choice"
ELN-11,Kadi4Mat,Open Source,Yes,"English,
Freely extensible,
German,
Multilingual",Online documentation,"Browser forms,
Plain text editor,
Freehand/Sketches",All formats,"Complete content in machine readable format,
Formats suitable for publication,
Formats suitable for long term archiving","Define own templates,
Import of own templates","Full text search,
Advanced/conditional search",Role management,"Versioning,
Timestamping",,Sample Tracking,"None,
Create own plug-ins",,,"Graphical,
Export possible,
Cross-project workflows","REST API,
Python API",Yes,"Browser based,
Responsive Design","Local,
Cloud of own choice"
ELN-12,LabArchives,Closed Source,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Plain text editor,
Freehand/Sketches,
Annotation,
With internal links,
With external links,
Dictation function,
Scientific calculator,
Table editor,
Mathematical formula/equation editor,
XHTML-Editor,
Barcode Scanner,
Rich text editor",All formats,"Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import from internet sources,
Import of own templates","Full text search,
Database queries,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management,
Notifications,
Comments","Audit Trail,
Electronic signature,
Versioning,
Timestamping","FERPA,
FISMA,
HIPAA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
FDA CFR 21 Part 11","Materials database,
LIMS connectivity,
Freezer Management,
Sample Tracking,
Inventory (devices)","DMP Tool,
Google Drive,
GoogleDocs,
Box,
One Drive,
Dropbox,
FAIRDOM,
JupyterHub,
eLife,
F1000Research,
Dataverse,
DSpace,
Figshare,
Github,
BioMed Central (Springer Nature),
ChemDoodle (iChemLabs),
FlowJo (BD),
GraphPad Prism (Dotmatics),
Label printing (Other),
Logger Pro (Vernier),
Mendeley (Elsevier),
MethodsX (Elsevier),
Microsoft Office Plug-in,
SnapGene (Dotmatics)","Device control,
Autoupload/folder watch","Task management,
Calendar","Yes,
Cross-project workflows,
Project-related workflows","REST API,
Other API",Unknown,"Browser based,
Mobile Application,
Responsive Design","Provider's Cloud,
Local"
ELN-13,Labcollector (AgileBio),Closed Source,Unknown,Multilingual,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Freehand/Sketches,
Chemical editor/sketching,
With external links,
Plain text editor,
Table editor,
Dictation function,
Scientific calculator,
XHTML-Editor,
Mathematical formula/equation editor,
Annotation,
With internal links",All formats,"Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Subject specific templates","Full text search,
Database queries,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","FERPA,
FISMA,
HIPAA,
TickITplus,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
ASTM,
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Sample Tracking,
Freezer Management,
Materials database,
LIMS connectivity,
Inventory (devices),
Asset management","Slack,
Mind the Graph (Cactus)",Unknown,"Calendar,
Task management","Yes,
Graphical,
Cross-project workflows,
Project-related workflows","Other API,
REST API",Unknown,"Browser based,
Local client,
Mobile Application","Cloud of own choice,
Local,
Provider's Cloud"
ELN-14,LabWare,Closed Source,Yes,"English,
Freely extensible,
Multilingual","User training (online, on site),
Online documentation,
Support by provider (Consulting)","Barcode Scanner,
With external links,
Chemical editor/sketching,
Mathematical formula/equation editor,
Scientific calculator,
XHTML-Editor,
Browser forms,
Freehand/Sketches,
Table editor,
Plain text editor,
Annotation",All formats,"Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import of own templates,
Subject specific templates","Full text search,
Database queries,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management","Audit Trail,
Timestamping,
Electronic signature,
Versioning","FERPA,
HIPAA,
FISMA,
TickITplus,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
Good Clinical practice (GCP),
ASTM,
Health Level 7 (HL7),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
Freezer Management,
LIMS connectivity,
Inventory (devices)","Marvin JS (ChemAxon),
MarvinSketch (ChemAxon),
Quality Analyst (Northwest Analytics),
SAP BTP","Autoupload/folder watch,
Device control",Calendar,"Yes,
Cross-project workflows,
Project-related workflows","Other API,
REST API,
SDK,
ODBC",Unknown,"Browser based,
Local client,
Mobile Application,
Responsive Design","Provider's Cloud,
Local,
Cloud of own choice"
ELN-15,Mbook Chemistry-Pro/Enterprise (Mestrelab),Closed Source,No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Chemical editor/sketching,
Plain text editor,
Scientific calculator,
With external links",All formats,"Formats suitable for long term archiving,
Formats suitable for publication,
Complete content in document format,
Complete content in machine readable format",Unknown,"Full text search,
File/data hierarchy,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
External guest permitted","Audit Trail,
Electronic signature",FDA CFR 21 Part 11,"Inventory (devices),
Materials database","Other vendor products,
ChemDraw (Revvity Signals),
Marvin JS (ChemAxon)",Data analysis,Task management,Unknown,REST API,No,"Browser based,
Mobile Application","Local,
Provider's Cloud"
ELN-16,RSpace,"Open Source,
AGPL 3.0",No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)","Freehand/Sketches,
Plain text editor,
Rich text editor,
With external links,
Mathematical formula/equation editor,
Chemical editor/sketching,
Dictation function,
Scientific calculator,
Table editor,
XHTML-Editor",All formats,"Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import from internet sources,
Import of own templates","Full text search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management,
Notifications,
Comments","Audit Trail,
Electronic signature,
Versioning,
Timestamping","FERPA,
FISMA,
HIPAA,
TickITplus,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
Good Clinical practice (GCP),
ASTM,
Health Level 7 (HL7),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
LIMS connectivity,
Inventory (devices),
Sample Tracking","Slack,
Dataverse,
DSpace,
Figshare,
Dropbox,
One Drive,
Google Drive,
Box,
Egnyte,
GoogleDocs,
JoVE,
DMP Tool,
Jupyter,
Github,
ChemDraw (Revvity Signals),
MarvinSketch (ChemAxon),
Mendeley (Elsevier),
Microsoft Office Plug-in,
Teams,
SnapGene (Dotmatics)",Unknown,Calendar,"Cross-project workflows,
Project-related workflows",REST API,Yes,Browser based,"Local,
Cloud of own choice,
Provider's Cloud"
ELN-17,Agilent SLIMS,Closed Source,Yes,"French,
English,
Mandarin Chinese,
German,
Dutch","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Barcode Scanner,
Browser forms","Table formats,
Structured formats,
MS Office formats",Formats suitable for long term archiving,"Define own templates,
Import from internet sources,
Import of own templates","Database queries,
Full text search,
Advanced/conditional search","Rights management,
Role management","Audit Trail,
Electronic signature,
Versioning,
Timestamping","General Data Protection Regulation (GDPR),
HIPAA,
ISO 27001,
Good Laboratory Practice (GLP),
GxP,
FDA CFR 21 Part 11","LIMS connectivity,
Sample Tracking,
Materials database,
Inventory (devices),
Freezer Management,
Asset management,
Instrument management","In-house plugins,
Biobank,
Other vendor products,
iLab (Agilent),
Label printing (Other),
MassHunter (Agilent),
LabX (Mettler Toledo)","Autoupload/folder watch,
Data analysis,
Device control",Taskboard,"Yes,
Graphical,
Reports","REST API,
Python API,
Java API","No,
Yes","Responsive Design,
Browser based","Provider's Cloud,
Cloud of own choice,
Local"
